,start_station_name,value
1558,W 21 St & 6 Ave,1292
1688,West St & Chambers St,1259
493,Broadway & W 58 St,1113
285,6 Ave & W 33 St,1112
8,1 Ave & E 68 St,1102
483,Broadway & W 25 St,1027
461,Broadway & E 21 St,986
1483,University Pl & E 14 St,984
459,Broadway & E 14 St,953
24,11 Ave & W 41 St,941
781,E 33 St & 1 Ave,932
1574,W 31 St & 7 Ave,921
1689,West St & Liberty St,902
29,12 Ave & W 40 St,883
286,6 Ave & W 34 St,869
1091,Lafayette St & E 8 St,867
585,Cleveland Pl & Spring St,864
558,Central Park S & 6 Ave,863
327,8 Ave & W 33 St,861
1563,W 22 St & 10 Ave,844
